Test Case ID,Category,Test Case Name,Priority,Preconditions,Steps,Expected Result
TC-030,Partner Reports,Tier distribution chart,Medium,"Logged in as partner. Licenses across multiple tiers.","1. Navigate to /partner/reports
2. Review tier distribution","Chart shows correct count per tier, with breakdown of total vs available for each tier."
TC-031,Partner Reports,Daily activity chart,Medium,"Logged in as partner. Events exist over the past 30 days.","1. Navigate to /partner/reports
2. Review daily activity chart","Chart shows event counts grouped by day and event type for the last 30 days."
TC-032,Webhook - Purchase,Purchase event creates new license,Critical,"AppSumo partner exists and is active. License key does NOT exist in DB.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""purchase"", ""license_key"": ""<new-uuid>"", ""tier"": 1}
3. Check DB","Response: 200 {event: 'purchase', success: true}. New license created in DB with status 'consumed', tier 1, consumedAt set. Event log entry created with eventType 'purchase', triggeredBy 'webhook'."
TC-033,Webhook - Purchase,Purchase event on existing license,High,"License key already exists in DB with status 'generated'.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""purchase"", ""license_key"": ""<existing-key>"", ""tier"": 1}","Response: 200. Existing license status updated to 'consumed'. consumedAt set. Event log entry created showing previousStatus 'generated' -> newStatus 'consumed'."
TC-034,Webhook - Purchase,Purchase event missing license_key,High,"Partner exists","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""purchase"", ""tier"": 1}","Response: 400 {message: 'license_key and tier required for purchase'}. No DB changes."
TC-035,Webhook - Purchase,Purchase event missing tier,High,"Partner exists","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""purchase"", ""license_key"": ""<uuid>""}","Response: 400 {message: 'license_key and tier required for purchase'}. No DB changes."
TC-036,Webhook - Activate,Activate event on existing license,Critical,"License exists in DB with status 'generated' or 'consumed'.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""activate"", ""license_key"": ""<existing-key>""}","Response: 200. License status set to 'consumed'. consumedAt set. Event log entry created with eventType 'activate'."
TC-037,Webhook - Activate,Activate event on non-existing license (race condition fix),Critical,"License key does NOT exist in DB (purchase webhook hasn't arrived yet).","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""activate"", ""license_key"": ""<new-uuid>"", ""tier"": 2}
3. Check DB","Response: 200. NEW license record created in DB with status 'consumed', tier from payload (or default 1). Event log created. License is NOT lost."
TC-038,Webhook - Activate,Activate event missing license_key,High,"Partner exists","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""activate""}","Response: 400 {message: 'license_key required for activate'}."
TC-039,Webhook - Upgrade,Upgrade: full flow with Heimdall sync,Critical,"Previous license KEY-1 exists with status 'redeemed', heimdallWorkspaceId, heimdallUserId, and redeemerEmail populated (user completed signup). Heimdall API is accessible.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""upgrade"", ""prev_license_key"": ""<KEY-1>"", ""license_key"": ""<KEY-2-new-uuid>"", ""tier"": 2}
3. Check DB for both keys
4. Check Heimdall workspace plan","Response: 200 {event: 'upgrade', success: true, heimdallSynced: true}.
DB: KEY-1 status='upgraded', upgradedAt set, upgradedToKey=KEY-2.
DB: KEY-2 created with status='redeemed', tier=2, heimdallUserId/heimdallWorkspaceId/redeemerEmail/previousPlanId/previousPlanType all copied from KEY-1. previousKey=KEY-1.
Events: TWO events created - one for KEY-1 (upgraded) and one for KEY-2 (redeemed).
Heimdall: Workspace plan updated to appsumo_tier_2 with correct plan_id, license_code=KEY-2."
TC-040,Webhook - Upgrade,Upgrade: previous key not redeemed (no Heimdall data),High,"Previous license KEY-1 exists with status 'consumed' but NO heimdallWorkspaceId or redeemerEmail (user hasn't completed signup yet).","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""upgrade"", ""prev_license_key"": ""<KEY-1>"", ""license_key"": ""<KEY-2>"", ""tier"": 2}
3. Check DB
4. Check server logs","Response: 200 {event: 'upgrade', success: true, heimdallSynced: true}.
DB: KEY-1 marked 'upgraded'. KEY-2 created with tier 2, status 'redeemed', but Heimdall fields are null.
Logs: 'No Heimdall workspace or redeemer email on previous key — skipping sync'.
Heimdall: NOT called (nothing to sync)."
TC-041,Webhook - Upgrade,Upgrade: previous key does not exist in DB,High,"Previous license key does NOT exist in DB at all.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""upgrade"", ""prev_license_key"": ""<nonexistent>"", ""license_key"": ""<KEY-2>"", ""tier"": 3}
3. Check DB","Response: 200. KEY-1 not found so not updated. Event still created for KEY-1 with previousStatus=null. KEY-2 created with tier 3, status 'redeemed', but all Heimdall fields null. Heimdall sync skipped."
TC-042,Webhook - Upgrade,Upgrade: new key already exists from prior purchase,High,"KEY-2 already exists in DB (created via prior purchase webhook) with tier=2, status='consumed'.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""upgrade"", ""prev_license_key"": ""<KEY-1>"", ""license_key"": ""<KEY-2>"", ""tier"": 3}
3. Check DB","KEY-2 is UPDATED (not inserted): status='redeemed', tier updated to 3 (new tier), Heimdall data copied from KEY-1. Event created for both keys."
TC-043,Webhook - Upgrade,Upgrade: Heimdall sync failure returns 500,Critical,"Previous license has Heimdall data. Heimdall API is DOWN or unreachable.","1. Temporarily make Heimdall unreachable (e.g. set HEIMDALL_API_URL to invalid URL)
2. Send upgrade webhook
3. Check response
4. Check DB
5. Check server logs","Response: 500 {event: 'upgrade', success: false, message: 'Local DB updated but Heimdall plan sync failed — please retry'}.
DB: Local DB IS updated (old key upgraded, new key created).
Logs: Error details logged.
AppSumo: Will retry the webhook. On retry with Heimdall restored, the handler should process idempotently."
TC-044,Webhook - Upgrade,Upgrade: missing prev_license_key,High,"Partner exists","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""upgrade"", ""license_key"": ""<KEY-2>"", ""tier"": 2}","Response: 400 {message: 'prev_license_key, license_key, and tier required for upgrade'}. No DB changes."
TC-045,Webhook - Upgrade,Upgrade: missing license_key (new key),High,"Partner exists","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""upgrade"", ""prev_license_key"": ""<KEY-1>"", ""tier"": 2}","Response: 400. No DB changes."
TC-046,Webhook - Upgrade,Upgrade: missing tier,High,"Partner exists","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""upgrade"", ""prev_license_key"": ""<KEY-1>"", ""license_key"": ""<KEY-2>""}","Response: 400. No DB changes."
TC-047,Webhook - Upgrade,Upgrade: sequential tier 1→2→3,Critical,"KEY-1 redeemed at tier 1 with Heimdall data. Heimdall accessible.","1. Send upgrade webhook: KEY-1→KEY-2, tier 2
2. Verify KEY-2 has Heimdall data and Heimdall plan is tier 2
3. Send upgrade webhook: KEY-2→KEY-3, tier 3
4. Verify KEY-3 has Heimdall data and Heimdall plan is tier 3","After step 2: KEY-1 status='upgraded', KEY-2 status='redeemed' with tier 2, Heimdall workspace on appsumo_tier_2.
After step 4: KEY-2 status='upgraded', KEY-3 status='redeemed' with tier 3, Heimdall workspace on appsumo_tier_3. All Heimdall fields (workspaceId, userId, email, previousPlan) properly chain-copied through each upgrade."
TC-048,Webhook - Upgrade,Upgrade: verify Heimdall plan_id mapping,Critical,"Redeemed license at tier 1 with Heimdall data.","1. Send upgrade to tier 2: check Heimdall workspace plan_id = 82480e8b-8b70-4939-bf0f-6b50b069bb88, type = appsumo_tier_2
2. Send upgrade to tier 3: check plan_id = d80c78c8-1634-4548-9eab-88daf6dc225c, type = appsumo_tier_3
3. Send upgrade to tier 4: check plan_id = 737aaec7-380d-4279-8b49-16c651f10d17, type = appsumo_tier_4","Each tier maps to the correct Heimdall plan_id and type string. Workspace is actually updated (verify via Heimdall API or TinyCommand app)."
TC-049,Webhook - Downgrade,Downgrade: full flow with Heimdall sync,Critical,"Previous license KEY-1 exists at tier 3 with status 'redeemed', heimdallWorkspaceId, heimdallUserId, and redeemerEmail populated. Heimdall accessible.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""downgrade"", ""prev_license_key"": ""<KEY-1>"", ""license_key"": ""<KEY-2-new>"", ""tier"": 1}
3. Check DB for both keys
4. Check Heimdall workspace plan","Response: 200 {event: 'downgrade', success: true, heimdallSynced: true}.
DB: KEY-1 status='downgraded', downgradedAt set, upgradedToKey=KEY-2.
DB: KEY-2 created with status='redeemed', tier=1, all Heimdall data copied from KEY-1.
Events: TWO events - one for KEY-1 (downgraded) and one for KEY-2 (redeemed).
Heimdall: Workspace plan updated to appsumo_tier_1."
TC-050,Webhook - Downgrade,Downgrade: previous key not redeemed,High,"Previous license exists but with no Heimdall data.","1. Send downgrade webhook
2. Check DB and logs","Response: 200. DB updated locally. Heimdall sync skipped with log message. No error."
TC-051,Webhook - Downgrade,Downgrade: Heimdall sync failure returns 500,Critical,"Previous license has Heimdall data. Heimdall API is down.","1. Make Heimdall unreachable
2. Send downgrade webhook
3. Check response","Response: 500 {event: 'downgrade', success: false, message: 'Local DB updated but Heimdall plan sync failed — please retry'}. AppSumo should retry."
TC-052,Webhook - Downgrade,Downgrade: sequential tier 3→2→1,Critical,"KEY-1 redeemed at tier 3 with Heimdall data.","1. Send downgrade webhook: KEY-1→KEY-2, tier 2
2. Verify Heimdall plan is tier 2
3. Send downgrade webhook: KEY-2→KEY-3, tier 1
4. Verify Heimdall plan is tier 1","Each downgrade correctly updates both DB and Heimdall. Heimdall data chains through all keys. previousPlanId (the pre-AppSumo plan) is preserved across all downgrades."
TC-053,Webhook - Downgrade,Downgrade: missing required fields,High,"Partner exists","1. Send downgrade without prev_license_key
2. Send downgrade without license_key
3. Send downgrade without tier","All three return 400 with appropriate error message. No DB changes."
TC-054,Webhook - Upgrade then Downgrade,Upgrade tier 1→2 then downgrade 2→1,Critical,"KEY-1 redeemed at tier 1 with Heimdall data.","1. Send upgrade: KEY-1→KEY-2, tier 2
2. Verify KEY-2 redeemed, Heimdall on tier 2
3. Send downgrade: KEY-2→KEY-3, tier 1
4. Verify KEY-3 redeemed, Heimdall on tier 1
5. Check all three keys in DB","KEY-1: status='upgraded'. KEY-2: status='downgraded'. KEY-3: status='redeemed', tier=1. Heimdall workspace on appsumo_tier_1. All Heimdall fields chain-copied. previousPlanId preserved from original redemption."
TC-055,Webhook - Deactivate,Deactivate: full flow with Heimdall restore to free,Critical,"License KEY-1 exists with status 'redeemed', has heimdallWorkspaceId and redeemerEmail. previousPlanType is null (user had no plan before AppSumo). Heimdall accessible.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""deactivate"", ""license_key"": ""<KEY-1>""}
3. Check DB
4. Check Heimdall workspace","Response: 200 {event: 'deactivate', success: true}.
DB: KEY-1 status='deactivated', deactivatedAt set. Event created.
Heimdall: Workspace updated with type='FREEMIUM', plan_id=null, license_code=null, license_provider=null."
TC-056,Webhook - Deactivate,Deactivate: restore to previous paid plan,High,"License has previousPlanId and previousPlanType set (user had a paid plan before AppSumo).","1. Send deactivate webhook
2. Check Heimdall workspace","Heimdall workspace restored with the original plan_id and type from previousPlanId/previousPlanType (not FREEMIUM)."
TC-057,Webhook - Deactivate,Deactivate: non-existing license key (fix),Critical,"License key does NOT exist in DB.","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""deactivate"", ""license_key"": ""<nonexistent-uuid>""}
3. Check DB","Response: 200. NEW license record created in DB with status='deactivated', deactivatedAt set. Event log created. No Heimdall sync (no workspace data). License is NOT lost."
TC-058,Webhook - Deactivate,Deactivate: Heimdall sync failure returns 500,Critical,"License has Heimdall data. Heimdall API is down.","1. Make Heimdall unreachable
2. Send deactivate webhook
3. Check response","Response: 500 {event: 'deactivate', success: false, message: 'Local DB updated but Heimdall plan restore failed — please retry'}."
TC-059,Webhook - Deactivate,Deactivate: no Heimdall data (user never redeemed),High,"License exists with status 'consumed' but no heimdallWorkspaceId.","1. Send deactivate webhook
2. Check logs","Response: 200. License marked deactivated in DB. Log says 'No Heimdall workspace ID or redeemer email — skipping'. No Heimdall call made."
TC-060,Webhook - Deactivate,Deactivate: missing license_key,High,"Partner exists","1. Send POST with {""event"": ""deactivate""}","Response: 400 {message: 'license_key required for deactivate'}."
TC-061,Webhook - Deactivate,Deactivate after upgrade chain,Critical,"KEY-1 redeemed, upgraded to KEY-2, upgraded to KEY-3. KEY-3 is active with Heimdall data.","1. Send deactivate for KEY-3
2. Check KEY-3 status in DB
3. Check Heimdall workspace","KEY-3 status='deactivated'. Heimdall workspace restored to FREEMIUM (or previousPlan). previousPlanId from original redemption is used for restore."
TC-062,Webhook - Test,Test event acknowledgment,Medium,"Partner exists","1. Send POST to /api/webhooks/partner?name=appsumo
2. Body: {""event"": ""test""}","Response: 200 {event: 'test', success: true}. No DB changes."
TC-063,Webhook - Test,Test flag acknowledgment,Medium,"Partner exists","1. Send POST with {""event"": ""purchase"", ""test"": true}","Response: 200 {event: 'test', success: true}. Test flag takes priority. No DB changes."
TC-064,Webhook - Migrate,Migrate event acknowledgment,Medium,"Partner exists","1. Send POST with {""event"": ""migrate"", ""license_key"": ""<uuid>""}","Response: 200 {event: 'migrate', success: true}. Payload logged but no DB action."
TC-065,Webhook Auth,HMAC signature validation - valid signature,High,"Partner has webhookSecret configured.","1. Compute HMAC-SHA256 of request body using partner's webhookSecret and timestamp
2. Send webhook with x-webhook-signature and x-webhook-timestamp headers","Response: 200. Webhook processed normally. Logs show 'HMAC validation result: true'."
TC-066,Webhook Auth,HMAC signature validation - invalid signature,High,"Partner has webhookSecret configured.","1. Send webhook with x-webhook-signature: invalid-sig and x-webhook-timestamp: current-time","Response: 401 {message: 'Invalid webhook signature'}. No DB changes."
TC-067,Webhook Auth,HMAC signature validation - missing signature (no secret),Medium,"Partner has NO webhookSecret (null/empty).","1. Send webhook without signature headers","Response: 200. HMAC validation skipped. Webhook processed normally. Logs show 'Skipping HMAC validation'."
TC-068,Webhook Auth,Missing partner name,High,"N/A","1. Send POST to /api/webhooks/partner (no ?name= and no x-partner-name header)","Response: 400 {message: 'Missing partner name...'}."
TC-069,Webhook Auth,Non-existent partner name,High,"No partner named 'fakepartner'","1. Send POST to /api/webhooks/partner?name=fakepartner","Response: 404 {message: 'Partner not found'}."
TC-070,Webhook Auth,Inactive partner,High,"Partner exists but isActive=false","1. Send POST to /api/webhooks/partner?name=<inactive-partner>","Response: 403 {message: 'Partner is inactive'}."
TC-071,Webhook Auth,Invalid payload schema,Medium,"Partner exists","1. Send POST with {""event"": ""invalid_event""}","Response: 400 {message: 'Invalid payload', error: ...}. Zod validation details returned."
TC-072,Webhook Auth,Partner name via header,Medium,"Partner exists","1. Send POST to /api/webhooks/partner (no query param)
2. Set header x-partner-name: appsumo","Response: 200. Partner resolved from header. Webhook processed normally."
TC-073,OAuth Flow,Start AppSumo OAuth authorization,Critical,"APPSUMO_CLIENT_ID env var is set. APP_BASE_URL is set.","1. Navigate to /api/auth/partner/authorize","Browser is redirected to https://appsumo.com/openid/authorize with query params: client_id, response_type=code, redirect_uri (matching callback URL), state (random hex). State is stored in session."
TC-074,OAuth Flow,OAuth callback with valid code,Critical,"User completed AppSumo OAuth and is redirected back with code and state.","1. AppSumo redirects to /api/auth/partner/callback?partner=appsumo&code=<auth-code>&state=<state>
2. Server exchanges code for access token
3. Server fetches license key from AppSumo
4. Check session and redirect","Access token obtained from AppSumo. License key fetched. If license doesn't exist in DB, it's created via handlePurchaseEvent. pendingLicenseKey stored in session. User redirected to /redeem/signup."
TC-075,OAuth Flow,OAuth callback - health check (no code),Medium,"N/A","1. Send GET to /api/auth/partner/callback?partner=appsumo (no code)","Response: 200 {ok: true}. This is AppSumo's URL validation/health check."
TC-076,OAuth Flow,OAuth callback - missing code non-AppSumo,Medium,"N/A","1. Send GET to /api/auth/partner/callback (no partner, no code)","Response: 400 {message: 'Missing authorization code'}."
TC-077,OAuth Flow,OAuth callback - error from provider,Medium,"AppSumo returns error","1. /api/auth/partner/callback?error=access_denied","Response: 400 {message: 'AppSumo OAuth error: access_denied'}."
TC-078,OAuth Flow,OAuth callback - license key race condition,High,"License key does NOT exist in local DB when OAuth callback processes.","1. Complete OAuth flow
2. Callback fetches license key from AppSumo
3. License key not found in local DB","Server creates the license record via handlePurchaseEvent with source 'oauth-callback'. License is stored in DB before redirecting to signup. No data loss."
TC-079,OAuth Flow,OAuth callback - license key already exists,High,"License key already exists in DB (purchase webhook arrived first).","1. Purchase webhook creates license in DB
2. User completes OAuth flow
3. Callback finds license already in DB","Existing license is NOT overwritten. Status preserved. pendingLicenseKey set in session. User redirected to signup."
TC-080,Redemption,Signup with valid data - new user,Critical,"pendingLicenseKey in session. License exists with status 'consumed'. User email NOT in Keycloak/Heimdall. Heimdall accessible.","1. Navigate to /redeem/signup (after OAuth flow)
2. Enter email: newuser@test.com
3. Enter firstName: John
4. Enter lastName: Doe
5. Enter password: SecurePass123
6. Click Submit","Response: 200 {success: true, isNewUser: true, email, name}.
Keycloak: New user created with email, name, and password.
Heimdall: User added, root workspace found/created, plan set to appsumo_tier_N.
DB: License status='redeemed', redeemedAt set, heimdallUserId, heimdallWorkspaceId, redeemerEmail, previousPlanId/previousPlanType all populated.
Event: 'redeem' event created.
Session: pendingLicenseKey cleared.
User redirected to success page."
TC-081,Redemption,Signup with valid data - existing user,High,"pendingLicenseKey in session. License exists. User email ALREADY exists in Keycloak.","1. Complete signup form with existing email","Keycloak returns 409 (user exists) — handled gracefully. Heimdall user/add upserts. Existing workspace found and updated with AppSumo plan. previousPlanId captures the user's current plan before override. Response: success, isNewUser: false."
TC-082,Redemption,Signup - license already redeemed,High,"pendingLicenseKey in session. License status is already 'redeemed'.","1. Navigate to /redeem/signup
2. Submit signup form","Response: 409 {message: 'This license has already been redeemed.', alreadyRedeemed: true, supportEmail: 'support@tinycommand.com'}. No Heimdall calls made."
TC-083,Redemption,Signup - no pending license key in session,High,"No pendingLicenseKey in session (user navigated directly to /redeem/signup).","1. Open /redeem/signup directly without going through OAuth","Response: 400 {message: 'No pending license key. Please start the activation from AppSumo.'}."
TC-084,Redemption,Signup - license key not found in DB,Medium,"pendingLicenseKey in session but license deleted from DB.","1. Submit signup form","Response: 404 {message: 'License key not found.'}."
TC-085,Redemption,Signup - invalid email format,Medium,"pendingLicenseKey in session.","1. Enter email: not-an-email
2. Submit","Validation error: 'Please enter a valid email address'. No API calls made."
TC-086,Redemption,Signup - password too short,Medium,"pendingLicenseKey in session.","1. Enter password: short (< 8 chars)
2. Submit","Validation error: 'Password must be at least 8 characters'."
TC-087,Redemption,Signup - missing first name,Medium,"pendingLicenseKey in session.","1. Leave firstName empty
2. Submit","Validation error: 'First name is required'."
TC-088,Redemption,Signup - Heimdall provisioning failure,High,"pendingLicenseKey in session. Heimdall API is down.","1. Make Heimdall unreachable
2. Submit valid signup form","Response: 500 {message: 'Provisioning failed at step: ... '}. License status NOT changed to 'redeemed' (stays at consumed). User can retry."
TC-089,Redemption,License info endpoint,High,"pendingLicenseKey in session. License exists with status 'consumed'.","1. GET /api/redeem/license-info","Response: 200 {tier: N, status: 'consumed', partnerName: 'AppSumo'}."
TC-090,Redemption,License info - already redeemed,Medium,"pendingLicenseKey in session. License status is 'redeemed'.","1. GET /api/redeem/license-info","Response: 409 {message: 'This license has already been redeemed.', alreadyRedeemed: true}."
TC-091,Redemption,License info - no session,Medium,"No pendingLicenseKey in session.","1. GET /api/redeem/license-info","Response: 400 {message: 'No pending license key...'}."
TC-092,Admin - Partners,List all partners,Medium,"Logged in as admin. Partners exist.","1. Navigate to /admin/partners","All partners listed with name, display name, contact email, isActive status."
TC-093,Admin - Partners,Create new partner,High,"Logged in as admin.","1. Navigate to /admin/partners
2. Click Create Partner
3. Enter name: 'testpartner' (unique)
4. Enter displayName: 'Test Partner'
5. Enter contactEmail: test@partner.com
6. Submit","New partner created with auto-generated apiKey and webhookSecret. Partner appears in list. Response includes all fields."
TC-094,Admin - Partners,Create duplicate partner name,Medium,"Logged in as admin. Partner 'appsumo' exists.","1. Try to create partner with name: 'appsumo'","Response: 409 {message: 'Partner with this name already exists'}."
TC-095,Admin - Partners,View partner detail with stats,Medium,"Logged in as admin. Partner with licenses exists.","1. Navigate to /admin/partners/:id","Partner details shown with stats: totalGenerated, totalConsumed, totalRedeemed, totalAvailable, totalDeactivated, totalUpgraded, totalDowngraded, tierDistribution."
TC-096,Admin - Partners,Update partner,Medium,"Logged in as admin.","1. Navigate to /admin/partners/:id
2. Update displayName or contactEmail
3. Save","Partner updated. Changes reflected on reload."
TC-097,Admin - Partner Users,Create partner user,High,"Logged in as admin. Partner exists.","1. Navigate to /admin/partners/:id
2. Click Add User
3. Enter email, name, password (min 6 chars), role (admin/manager/viewer)
4. Submit","New partner user created with hashed password. User can login at /partner/login."
TC-098,Admin - Partner Users,Create duplicate partner user email,Medium,"Partner user with this email already exists.","1. Try to create partner user with existing email","Response: 409 {message: 'User with this email already exists'}."
